snapshot_utc,kickoff_utc,home,away,game,book,market,side,point,price
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betonlineag,spreads,ARI,8.0,-115
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betonlineag,spreads,SF,-8.0,-105
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betonlineag,totals,Over,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betonlineag,totals,Under,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,h2h,ARI,,365
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,h2h,SF,,-500
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,spreads,ARI,8.5,-113
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,spreads,SF,-8.5,-108
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,totals,Over,47.5,-113
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betrivers,totals,Under,47.5,-108
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betus,spreads,ARI,8.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betus,spreads,SF,-8.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betus,totals,Over,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,betus,totals,Under,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,h2h,ARI,,370
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,h2h,SF,,-485
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,spreads,ARI,8.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,spreads,SF,-8.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,totals,Over,47.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,draftkings,totals,Under,47.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,h2h,ARI,,410
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,h2h,SF,,-550
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,spreads,ARI,8.5,-105
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,spreads,SF,-8.5,-115
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,totals,Over,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,fanduel,totals,Under,48.5,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,lowvig,spreads,ARI,8.0,-110
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,lowvig,spreads,SF,-8.0,100
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,lowvig,totals,Over,48.5,-107
2026-09-17T04:56:55Z,2026-09-27T20:05:00Z,SF,ARI,ARI@SF,lowvig,totals,Under,48.5,-107
2026-09-17T04:56:55Z,2026-09-25T00:15:00Z,GB,ATL,ATL@GB,betonlineag,spreads,ATL,6.5,-110
2026-09-17T04:56:55Z,2026-09-25T00:15:00Z,GB,ATL,ATL@GB,betonlineag,spreads,GB,-6.5,-110
2026-09-17T04:56:55Z,2026-09-25T00:15:00Z,GB,ATL,ATL@GB,betonlineag,totals,Over,46.5,-110
2026-09-17T04:56:55Z,2026-09-25T00:15:00Z,GB,ATL,ATL@GB,betonlineag,totals,Under,46.5,-110
